cleaned_text,text_cleaned,raw_sentiment_label,raw_sentiment_score,sentiment_category
food waste saattttttt,food buruk saatt,Negative,0.9998812675476074,negative
ok gas ok gas ok gas,gas gas gas,Negative,0.9838248491287231,negative
program yg dipaksakan pasti ujung²nya bermasalah,program paksa ujung nya masalah,Negative,0.9998763799667358,negative
jangan gitu ntr dimarahin sma om botak yg skr udh jadi staff khusus,jangan gitu ntr dimarahin sma om botak skr jadi staff khusus,Negative,0.999567449092865,negative
kata ternak mulyono perbanyak bersyukur,kata ternak buruk banyak syukur,Negative,0.9997256398200989,negative
suruh deddy co buzzer makan nya,suruh deddy co buzzer makan nya,Neutral,0.9993999004364014,neutral
pantesan anies kasih angka dari,pantesan anies kasih angka,Neutral,0.9996391534805298,neutral
takut adeknya dikatain anak abah,takut adeknya dikatain anak abah,Negative,0.9998266100883484,negative
hati hati dedi corbuzier ngamok,hati hati dedi corbuzier ngamok,Neutral,0.998227059841156,neutral
itu faktajangan terbiasa mencari pembenaranmencari kambing hitam fakta ya fakta meskipun pahit harus diterima,faktajangan biasa cari pembenaranmencari kambing hitam fakta fakta meski pahit terima,Negative,0.9995346069335938,negative
uji ulang pemberian makan siang gratis lebih baik sekolah gratis daripada makan siang gratis,uji ulang beri makan siang gratis lebih baik sekolah gratis makan siang gratis,Neutral,0.999552309513092,neutral
pertamax aja bisa dioplos apalagi mbg ingat yaa bray yg ada kementrian aja bisa dikorup apalagi yang gak ada badan pengawasannyainilah konoha sesungguhnya,pertamax oplos mbg ingat yaa bray tri korup badan pengawasannyainilah konoha sungguh,Negative,0.9998112320899963,negative
mending pendidikan gratis masih ada di daerah negeri berbayar coba deh cek kota kalian,mending didik gratis daerah negeri bayar coba deh cek kota kalian,Neutral,0.9991918206214905,neutral
buang buang uang negara makan g gratis bikin masalah,buang buang uang negara makan g gratis bikin masalah,Negative,0.9998493194580078,negative
soalnya masaknya dini hari mngkin masih panas lgsung ditutup jadi basi mmg resiko nya bgtu program prematur yg dibanggakan,soal masak dini hari mngkin panas lgsung tutup jadi basi mmg resiko nya bgtu program prematur bangga,Positive,0.8802939653396606,positive
lah kan mbg stands for makanan basi dan gaenak itu program tujuan utamanya buat korupsi,lah kan mbg stands for makan basi gaenak program tuju utama buat korupsi,Negative,0.9997240900993347,negative
awas dedi corbuzzer liat,awas dedi corbuzzer liat,Neutral,0.9994698166847229,neutral
tolong ini deddy corbuzier yg abis ngata ngatain anak sd dikasih,deddy corbuzier abis ngata ngatain anak sd kasih,Neutral,0.9955547451972961,neutral
kasih azka coba,kasih azka coba,Positive,0.9942348599433899,positive
banyak seperti pemerintahan sekarang gak terima di kritik padahal tujuan ya untuk memperbaiki bukan baperan,banyak perintah sekarang terima kritik padahal tuju baik bukan baperan,Negative,0.9993172883987427,negative
jelas hambar karena dr atas dananya dipangkas,jelas hambar atas dana pangkas,Negative,0.999862790107727,negative
program prabowo paling mustahil di jalankan tp banyak yg percaya sewaktu kampanye,program prabowo paling mustahil jalan tp banyak percaya waktu kampanye,Negative,0.924258828163147,negative
please hentikan program iniganti blt siswa sajakalo gak mau pilih pendidikan gratis,please henti program iniganti blt siswa sajakalo mau pilih didik gratis,Neutral,0.9822007417678833,neutral
assu_dahlah hentikan saja itu program mbg pak presiden anak² kami lebih mbutuhkan pendidikan gratis daripada makan siang gratis,assu dah henti program mbg pak presiden anak lebih mbutuhkan didik gratis makan siang gratis,Negative,0.991710901260376,negative
kalo jujur sebetulnya hampir semua seperti itu kadang kadang diliput anak anak takut menyampaikan apa adanya seolah olah disetting supaya melaporkan baik baik saja,kalau jujur hampir semua kadang kadang liput anak anak takut sampai apa ada olah disetting lapor baik baik,Negative,0.9670529365539551,negative
nasi siang gratis rasa ternak mulyono,nasi siang gratis rasa ternak buruk,Negative,0.9996832609176636,negative
