cleaned_text,text_cleaned,sentiment_label,sentiment_score
food waste saattttttt,food waste saattttttt,LABEL_4,0.2830450236797333
ok gas ok gas ok gas,gas gas gas,LABEL_4,0.30181005597114563
stopmbg,stopmbg,LABEL_4,0.29496926069259644
program yg dipaksakan pasti ujung²nya bermasalah,program paksa ujung nya masalah,LABEL_4,0.27602311968803406
jangan gitu ntr dimarahin sma om botak yg skr udh jadi staff khusus,jangan gitu ntr dimarahin sma om botak skr jadi staff khusus,LABEL_4,0.269298255443573
kata ternak mulyono perbanyak bersyukur,kata ternak mulyono banyak syukur,LABEL_2,0.24753132462501526
suruh deddy co buzzer makan nya,suruh deddy co buzzer makan nya,LABEL_4,0.26936575770378113
pantesan anies kasih angka dari,pantesan anies kasih angka,LABEL_4,0.28683388233184814
takut adeknya dikatain anak abah,takut adeknya dikatain anak abah,LABEL_4,0.2874448895454407
hati hati dedi corbuzier ngamok,hati hati dedi corbuzier ngamok,LABEL_4,0.24792154133319855
itu faktajangan terbiasa mencari pembenaranmencari kambing hitam fakta ya fakta meskipun pahit harus diterima,faktajangan biasa cari pembenaranmencari kambing hitam fakta fakta meski pahit terima,LABEL_2,0.23953495919704437
uji ulang pemberian makan siang gratis lebih baik sekolah gratis daripada makan siang gratis,uji ulang beri makan siang gratis lebih baik sekolah gratis makan siang gratis,LABEL_2,0.26203328371047974
pertamax aja bisa dioplos apalagi mbg ingat yaa bray yg ada kementrian aja bisa dikorup apalagi yang gak ada badan pengawasannyainilah konoha sesungguhnya,pertamax oplos mbg ingat yaa bray tri korup badan pengawasannyainilah konoha sungguh,LABEL_4,0.27287957072257996
mending pendidikan gratis masih ada di daerah negeri berbayar coba deh cek kota kalian,mending didik gratis daerah negeri bayar coba deh cek kota kalian,LABEL_4,0.24364325404167175
buang buang uang negara makan g gratis bikin masalah,buang buang uang negara makan g gratis bikin masalah,LABEL_2,0.2343212217092514
soalnya masaknya dini hari mngkin masih panas lgsung ditutup jadi basi mmg resiko nya bgtu program prematur yg dibanggakan,soal masak dini hari mngkin panas lgsung tutup jadi basi mmg resiko nya bgtu program prematur bangga,LABEL_4,0.24070210754871368
lah kan mbg stands for makanan basi dan gaenak itu program tujuan utamanya buat korupsi,lah kan mbg stands for makan basi gaenak program tuju utama buat korupsi,LABEL_4,0.27834352850914
awas dedi corbuzzer liat,awas dedi corbuzzer liat,LABEL_2,0.2630091607570648
tolong ini deddy corbuzier yg abis ngata ngatain anak sd dikasih,deddy corbuzier abis ngata ngatain anak sd kasih,LABEL_2,0.25321847200393677
kasih azka coba,kasih azka coba,LABEL_4,0.2729909121990204
banyak seperti pemerintahan sekarang gak terima di kritik padahal tujuan ya untuk memperbaiki bukan baperan,banyak perintah sekarang terima kritik padahal tuju baik bukan baperan,LABEL_4,0.2229260951280594
