cleaned_text,text_cleaned,raw_sentiment_label,raw_sentiment_score,sentiment_category,confidence_level,text_length,word_count
food waste saattttttt,food sia sia saatt,Negative,0.9998414516448975,negative,high,18,4
program yg dipaksakan pasti ujung²nya bermasalah,program paksa ujung nya bermasalah,Negative,0.9998865127563477,negative,high,34,5
jangan gitu ntr dimarahin sma om botak yg skr udh jadi staff khusus,jangan_gitu dimarahin sama botak sekarang jadi staff khusus,Negative,0.9998047947883606,negative,high,59,8
kata ternak mulyono perbanyak bersyukur,kata ternak buruk banyak syukur,Negative,0.9997256398200989,negative,high,31,5
suruh deddy co buzzer makan nya,suruh deddy buzzer makan nya,Neutral,0.9990612864494324,neutral,high,28,5
pantesan anies kasih angka dari,pantesan anies kasih angka,Neutral,0.9996391534805298,neutral,high,26,4
takut adeknya dikatain anak abah,takut adeknya dikatain anak abah,Negative,0.9998266100883484,negative,high,32,5
hati hati dedi corbuzier ngamok,hati hati dedi corbuzier ngamok,Neutral,0.998227059841156,neutral,high,31,5
itu faktajangan terbiasa mencari pembenaranmencari kambing hitam fakta ya fakta meskipun pahit harus diterima,faktajangan biasa cari pembenaranmencari kambing hitam fakta fakta meski pahit terima,Negative,0.9995346069335938,negative,high,85,11
uji ulang pemberian makan siang gratis lebih baik sekolah gratis daripada makan siang gratis,uji ulang beri makan siang gratis lebih baik sekolah gratis makan siang gratis,Neutral,0.999552309513092,positive,high,78,13
pertamax aja bisa dioplos apalagi mbg ingat yaa bray yg ada kementrian aja bisa dikorup apalagi yang gak ada badan pengawasannyainilah konoha sesungguhnya,pertamax oplos makan gizi gratis ingat yaa kawan tri korup gak_ada badan pengawasannyainilah konoha sungguh,Negative,0.9990761280059814,negative,high,107,15
mending pendidikan gratis masih ada di daerah negeri berbayar coba deh cek kota kalian,lebih baik didik gratis daerah negeri bayar coba cek kota kalian,Neutral,0.999257504940033,positive,high,64,11
buang buang uang negara makan g gratis bikin masalah,buang buang uang negara makan gratis bikin masalah,Negative,0.999854564666748,negative,high,50,8
